ロシア,Russia,1,70
フランス,France,1,7
スウェーデン,Sweden,1,24
オランダ,Netherlands,1,17
ポルトガル,Portugal,1,4
スイス,Switzerland,1,6
ハンガリー,Hungary,1,51
ドイツ,Germany,1,1
北アイルランド,Northern_Ireland,1,29
チェコ,Czech_Republic,1,46
セルビア,Serbia,1,34
アイルランド,Ireland,1,31
ウェールズ,Wales,1,18
ポーランド,Poland,1,8
デンマーク,Denmark,1,12
モンテネグロ,Montenegro,1,43
イングランド,England,1,12
スロバキア,Slovakia,1,28
スコットランド,Scotland,1,42
スペイン,Spain,1,10
イタリア,Italy,1,19
アルバニア,Albania,1,58
ベルギー,Belgium,1,3
ギリシャ,Greece,1,44
ボスニア・ヘルツェゴヴィナ,Bosnia_Herzegovina,1,40
アイスランド,Iceland,1,22
クロアチア,Croatia,1,20
ウクライナ,Ukraine,1,35
チュニジア,Tunisia,2,21
コンゴ民主共和国,Democratic_Republic_of_the_Congo,2,38
ナイジェリア,Nigeria,2,48
ザンビア,Zambia,2,76
モロッコ,Morocco,2,41
コートジボワール,Côte_d'lvoire,2,68
セネガル,Senegal,2,27
ブルキナファソ,Burkina_Faso,2,52
エジプト,Egypt,2,45
ウガンダ,Uganda,2,82
ブラジル,Brazil,3,2
ウルグアイ,Uruguay,3,14
アルゼンチン,Argentina,3,5
コロンビア,Colombia,3,16
ペルー,Peru,3,11
チリ,Chile,3,9
パラグアイ,Paraguay,3,32
エクアドル,Ecuador,3,60
日本,Japan,4,61
サウジアラビア,Saudi_Arabia,4,67
オーストラリア,Australia,4,36
UAE,United_Arab_Emirates,4,77
イラン,Iran,4,37
韓国,South_Korea,4,57
シリア,Syria,4,73
ウズベキスタン,Uzbekistan,4,95
メキシコ,Mexico,5,15
コスタリカ,Costa_Rica,5,23
パナマ,Panama,5,55
ホンジュラス,Honduras,5,62
アメリカ合衆国,USA,5,25
トリニダード・トバゴ,Trinidad_and_Tobago,5,91
ニュージーランド,New_Zealand,6,120
ソロモン諸島,Solomon_Islands,6,143
